"Velocity[i] (m/s)","X (m)","Y (m)","Z (m)"
0,0.05,0.48,0
6.56425372653757e-05,0.05,0.48,0.02
6.57094697089633e-05,0.05,0.5,0.02
0,0.05,0.5,0
0.00012740870261041,0.05,0.48,0.04
0.000127542200061725,0.05,0.5,0.04
0,0.05,0.46,0
6.54413670417853e-05,0.05,0.46,0.02
0.000185431992576923,0.05,0.48,0.06
0.000185631324711721,0.05,0.5,0.06
0.000127007469927776,0.05,0.46,0.04
0,0.05,0.44,0
6.51048421786982e-05,0.05,0.44,0.0199999999999999
0.00023984443032532,0.05,0.48,0.08
0.000240108514844906,0.05,0.5,0.08
0.000184832904778887,0.05,0.46,0.06
0.000126336295579677,0.05,0.44,0.0399999999999999
0,0.05,0.42,0
6.46310918455129e-05,0.05,0.42,0.02
0.000290775853500236,0.05,0.48,0.1
0.000291103278868832,0.05,0.5,0.1
0.00023905075431685,0.05,0.46,0.08
0.0001838308016886,0.05,0.44,0.0599999999999999
0.000125391470646719,0.05,0.42,0.04
0,0.05,0.4,0
6.40174521322479e-05,0.05,0.4,0.02
0.00033835325302789,0.05,0.48,0.12
0.000338742291205563,0.05,0.5,0.12
0.000289791852992494,0.05,0.46,0.1
0.000237723219470354,0.05,0.44,0.0799999999999999
0.000182420193596045,0.05,0.42,0.06
0.000124167703688727,0.05,0.4,0.04
0,0.05,0.38,0
6.32604123893543e-05,0.05,0.38,0.02
0.000382700141926762,0.05,0.48,0.14
0.000383148770197295,0.05,0.5,0.14
0.000337184137606528,0.05,0.46,0.12
0.000288146075035911,0.05,0.44,0.0999999999999999
0.000235854648053646,0.05,0.42,0.08
0.000180593255208805,0.05,0.4,0.06
0.000122658040709211,0.05,0.38,0.04
0,0.05,0.36,0
6.23555506535922e-05,0.05,0.36,0.02
0.000423935962317046,0.05,0.48,0.16
0.000424441910581663,0.05,0.5,0.16
0.000381351987016387,0.05,0.46,0.14
0.000335228884068783,0.05,0.44,0.12
0.000285829759377521,0.05,0.42,0.1
0.0002334348137083,0.05,0.4,0.08
0.00017833971651271,0.05,0.38,0.06
0.000120853728731163,0.05,0.36,0.04
0,0.05,0.34,0
6.12974545219913e-05,0.05,0.34,0.0200000000000001
0.00046217557246564,0.05,0.48,0.18
0.000462736337794922,0.05,0.5,0.18
0.000422415614593774,0.05,0.46,0.16
0.000379097458790056,0.05,0.44,0.14
0.000332477269694209,0.05,0.42,0.12
0.000282830449577887,0.05,0.4,0.1
0.000230450306844432,0.05,0.38,0.08
0.000175646662682993,0.05,0.36,0.06
0.000118744055725983,0.05,0.34,0.04
0,0.05,0.32,0
6.00796074650134e-05,0.05,0.32,0.02
0.000497528817504644,0.05,0.48,0.2
0.000498141685966402,0.05,0.5,0.2
0.000460490577097517,0.05,0.46,0.18
0.00041987332951976,0.05,0.44,0.16
0.000375925039406866,0.05,0.42,0.14
0.000328914808051195,0.05,0.4,0.12
0.000279131818388123,0.05,0.38,0.1
0.000226884298172081,0.05,0.36,0.08
0.000172498301253654,0.05,0.34,0.06
0.000116316134153749,0.05,0.32,0.04
0,0.05,0.3,0
5.86942314839689e-05,0.05,0.3,0.02
0.000530100121977739,0.05,0.48,0.22
0.000530762219568715,0.05,0.5,0.22
0.000495687330840155,0.05,0.46,0.2
0.000457673209893983,0.05,0.44,0.18
0.000416296432376839,0.05,0.42,0.16
0.000371818408893887,0.05,0.4,0.14
0.000324522523442283,0.05,0.38,0.12
0.000274713413091376,0.05,0.36,0.1
0.000222716225835029,0.05,0.34,0.08
0.000168875660165213,0.05,0.32,0.06
0.000113554604467936,0.05,0.3,0.04
0,0.05,0.28,0
5.71321061215713e-05,0.05,0.28,0.02
0.000559988082386553,0.05,0.48,0.24
0.000560696382308379,0.05,0.5,0.24
0.00052811078785453,0.05,0.46,0.22
0.000492608545755502,0.05,0.44,0.2
0.000453709777502809,0.05,0.42,0.18
0.000411666987929493,0.05,0.4,0.16
0.00036675621959148,0.05,0.38,0.14
0.000319276667141821,0.05,0.36,0.12
0.000269550291704945,0.05,0.34,0.1
0.000217921435250901,0.05,0.32,0.08
0.000164756169397151,0.05,0.3,0.06
0.000110441276774509,0.05,0.28,0.04
0,0.05,0.26,0
5.53823083464522e-05,0.05,0.26,0.02
0.000587285219808109,0.05,0.48,0.26
0.000588036578847095,0.05,0.5,0.26
0.000557859995751642,0.05,0.46,0.24
0.000524785107700154,0.05,0.44,0.22
0.000488277917611413,0.05,0.42,0.2
0.000448580947704613,0.05,0.4,0.18
0.000405961560318246,0.05,0.38,0.16
0.000360711790563073,0.05,0.36,0.14
0.000313148346322123,0.05,0.34,0.12
0.000263612604612717,0.05,0.32,0.1
0.000212470658880193,0.05,0.3,0.08
0.000160113148012897,0.05,0.28,0.06
0.000106954641523771,0.05,0.26,0.04
0,0.05,0.24,0
5.34318751306273e-05,0.05,0.24,0.02
0.00061207776889205,0.05,0.48,0.28
0.000612868956523016,0.05,0.5,0.28
0.000585027853958309,0.05,0.46,0.26
0.000554302663658746,0.05,0.44,0.24
0.000520107831107453,0.05,0.42,0.22
0.000482674935483374,0.05,0.4,0.2
0.000442261502030306,0.05,0.38,0.18
0.000399150922021363,0.05,0.36,0.16
0.000353652751073241,0.05,0.34,0.14
0.000306103072944097,0.05,0.32,0.12
0.000256865023402497,0.05,0.3,0.1
0.000206329401407856,0.05,0.28,0.08
0.000154915142047685,0.05,0.26,0.06
0.000103069229226094,0.05,0.24,0.04
0,0.05,0.22,0
5.12653568875976e-05,0.05,0.22,0.02
0.000634445445029996,0.05,0.48,0.3
0.000635273143416271,0.05,0.5,0.3
0.000609700859058648,0.05,0.46,0.28
0.000581254716962576,0.05,0.44,0.26
0.000549300268176012,0.05,0.42,0.24
0.000514057435793802,0.05,0.4,0.22
0.00047577286750311,0.05,0.38,0.2
0.000434720037446823,0.05,0.36,0.18
0.00039119970460888,0.05,0.34,0.16
0.000345540574926417,0.05,0.32,0.14
0.000298100174404681,0.05,0.3,0.12
0.000249266053288011,0.05,0.28,0.1
0.000199457146663917,0.05,0.26,0.08
0.000149125033203745,0.05,0.24,0.06
9.87547609838657e-05,0.05,0.22,0.04
0,0.05,0.2,0
4.88641826450475e-05,0.05,0.2,0.02
0.00065446131338831,0.05,0.48,0.32
0.000655322131933644,0.05,0.5,0.32
0.000631958973826841,0.05,0.46,0.3
0.000605728244408965,0.05,0.44,0.28
0.000575949539779685,0.05,0.42,0.26
0.000542830457561649,0.05,0.4,0.24
0.000506605945702177,0.05,0.38,0.22
0.000467538484372199,0.05,0.36,0.2
0.000425918638939038,0.05,0.34,0.18
0.000382065918529406,0.05,0.32,0.16
0.000336329954734538,0.05,0.3,0.14
0.000289092044113204,0.05,0.28,0.12
0.000240767159993993,0.05,0.26,0.1
0.000191806288057705,0.05,0.24,0.08
0.000142698874697089,0.05,0.22,0.06
9.39749770623166e-05,0.05,0.2,0.04
0,0.05,0.18,0
4.62057896584156e-05,0.05,0.18,0.02
0.000672191672492772,0.05,0.48,0.34
0.000673082191497087,0.05,0.5,0.34
0.00065187543805223,0.05,0.46,0.32
0.000627803572569974,0.05,0.44,0.3
0.000600143277551979,0.05,0.42,0.28
0.000569089330383576,0.05,0.4,0.26
0.000534864258952439,0.05,0.38,0.24
0.000497718654514756,0.05,0.36,0.22
0.000457931775599718,0.05,0.34,0.2
0.000415812428400386,0.05,0.32,0.18
0.000371700363757554,0.05,0.3,0.16
0.000325968096149154,0.05,0.28,0.14
0.000279023246548604,0.05,0.26,0.12
0.000231311605602968,0.05,0.24,0.1
0.000183320771611761,0.05,0.22,0.08
0.000135584334202576,0.05,0.2,0.06
8.86860234459164e-05,0.05,0.18,0.0399999999999999
0,0.05,0.16,0
4.32623464803328e-05,0.05,0.16,0.02
0.000687695952365175,0.05,0.48,0.36
0.000688612723024562,0.05,0.5,0.36
0.000669516666675918,0.05,0.46,0.34
0.000647554217721336,0.05,0.44,0.32
0.000621962288278155,0.05,0.42,0.3
0.000592922471696511,0.05,0.4,0.28
0.000560644301003776,0.05,0.38,0.26
0.000525365772773512,0.05,0.36,0.24
0.000487353856442496,0.05,0.34,0.22
0.00044690552749671,0.05,0.32,0.2
0.000404349026212003,0.05,0.3,0.18
0.000360045960405841,0.05,0.28,0.16
0.000314393830194604,0.05,0.26,0.14
0.000267829367658123,0.05,0.24,0.12
0.000220833015191602,0.05,0.22,0.1
0.00017393431335222,0.05,0.2,0.08
0.000127718567455304,0.05,0.18,0.0599999999999999
8.28341508167796e-05,0.05,0.16,0.0399999999999999
0,0.05,0.14,0
3.99988393837702e-05,0.05,0.14,0.02
0.000701026670867577,0.05,0.48,0.38
0.000701966200722381,0.05,0.5,0.38
0.000684942191583104,0.05,0.46,0.36
0.000665046798530966,0.05,0.44,0.34
0.000641480481135659,0.05,0.42,0.32
0.00061441128491424,0.05,0.4,0.3
0.000584035398787819,0.05,0.38,0.28
0.000550577635294758,0.05,0.36,0.26
0.000514291954459623,0.05,0.34,0.24
0.000475462489703204,0.05,0.32,0.22
0.000434404806583188,0.05,0.3,0.2
0.000391467903682496,0.05,0.28,0.18
0.000347036904713605,0.05,0.26,0.16
0.000301536478218623,0.05,0.24,0.14
0.000255435566941742,0.05,0.22,0.12
0.000209253521461505,0.05,0.2,0.1
0.000163568023708649,0.05,0.18,0.0799999999999999
0.000119025287858676,0.05,0.16,0.0599999999999999
7.63523394198273e-05,0.05,0.14,0.0399999999999999
0,0.05,0.12,0
3.63700655725552e-05,0.05,0.12,0.02
0.000712229390046559,0.05,0.48,0.4
0.000713188201189041,0.05,0.5,0.4
0.00069820458884351,0.05,0.46,0.38
0.000680340992403217,0.05,0.44,0.36
0.00065876473672688,0.05,0.42,0.34
0.000633630115771666,0.05,0.4,0.32
0.0006051196687622,0.05,0.38,0.3
0.000573444573092274,0.05,0.36,0.28
