"Velocity[i] (m/s)","X (m)","Y (m)","Z (m)"
8.45471822685795e-06,0.05,0.4975,0.00249999999999999
2.51145393121988e-05,0.05,0.4975,0.00749999999999999
8.45367321744561e-06,0.05,0.4925,0.00249999999999998
4.15268441429362e-05,0.05,0.4975,0.0125
2.51114051934564e-05,0.05,0.4925,0.00749999999999997
8.45158410811564e-06,0.05,0.4875,0.00249999999999998
5.76937200094108e-05,0.05,0.4975,0.0175
4.15216163673904e-05,0.05,0.4925,0.0125
2.51051387749612e-05,0.05,0.4875,0.00749999999999997
8.44844998937333e-06,0.05,0.4825,0.0025
7.36172733013518e-05,0.05,0.4975,0.0225
5.76864113099873e-05,0.05,0.4925,0.0175
4.1511175368214e-05,0.05,0.4875,0.0125
2.50957364187343e-05,0.05,0.4825,0.00749999999999999
8.44426904222928e-06,0.05,0.4775,0.0025
8.92995813046582e-05,0.05,0.4975,0.0275
7.36078800400719e-05,0.05,0.4925,0.0225
5.76717975491192e-05,0.05,0.4875,0.0175
4.14955102314707e-05,0.05,0.4825,0.0125
2.50831981247757e-05,0.05,0.4775,0.00749999999999999
8.43904217617819e-06,0.05,0.4725,0.00249999999999998
0.000104742735857144,0.05,0.4975,0.0325
8.92881071195006e-05,0.05,0.4925,0.0275
7.35890935175121e-05,0.05,0.4875,0.0225
5.76498750888277e-05,0.05,0.4825,0.0175
4.14746173191816e-05,0.05,0.4775,0.0125
2.50675166171277e-05,0.05,0.4725,0.00749999999999997
8.43276484374655e-06,0.05,0.4675,0.00249999999999998
0.000119948825158644,0.05,0.4975,0.0375
0.000104729180748109,0.05,0.4925,0.0325
8.92651660251431e-05,0.05,0.4875,0.0275
7.356092100963e-05,0.05,0.4825,0.0225
5.76206293771975e-05,0.05,0.4775,0.0175
4.14484857174102e-05,0.05,0.4725,0.0125
2.50486864388222e-05,0.05,0.4675,0.00749999999999997
8.42543613543967e-06,0.05,0.4625,0.0025
0.000134919930133037,0.05,0.4975,0.0425
0.000119933203677647,0.05,0.4925,0.0375
0.000104702092357911,0.05,0.4875,0.0325
8.92307434696704e-05,0.05,0.4825,0.0275
7.35233406885527e-05,0.05,0.4775,0.0225
5.75840604142286e-05,0.05,0.4725,0.0175
4.14171117881779e-05,0.05,0.4675,0.0125
2.50267021328909e-05,0.05,0.4625,0.00749999999999999
8.41705332277343e-06,0.05,0.4575,0.00250000000000001
0.000149658109876327,0.05,0.4975,0.0475
0.00013490223500412,0.05,0.4925,0.0424999999999999
0.000119901967991609,0.05,0.4875,0.0375
0.000104661441582721,0.05,0.4825,0.0325
8.91848394530825e-05,0.05,0.4775,0.0275
7.34763452783227e-05,0.05,0.4725,0.0225
5.75401536480058e-05,0.05,0.4675,0.0175
4.13804809795693e-05,0.05,0.4625,0.0125
2.50015582423657e-05,0.05,0.4575,0.00750000000000002
8.40761367726373e-06,0.05,0.4525,0.0025
0.00016416545258835,0.05,0.4975,0.0525
0.000149638362927362,0.05,0.4925,0.0474999999999999
0.000134866859298199,0.05,0.4875,0.0424999999999999
0.000119855103548616,0.05,0.4825,0.0375
0.000104607228422537,0.05,0.4775,0.0325
8.91274321475066e-05,0.05,0.4725,0.0275
7.34199129510671e-05,0.05,0.4675,0.0225
5.74888872506563e-05,0.05,0.4625,0.0175
4.1338582377648e-05,0.05,0.4575,0.0125
2.49732402153313e-05,0.05,0.4525,0.00749999999999999
8.39711447042646e-06,0.05,0.4475,0.00249999999999998
0.000178444010089152,0.05,0.4975,0.0575
0.000164143639267422,0.05,0.4925,0.0524999999999999
0.000149598869029433,0.05,0.4875,0.0474999999999999
0.000134813803015277,0.05,0.4825,0.0425
0.00011979260307271,0.05,0.4775,0.0375
0.000104539431049488,0.05,0.4725,0.0325
8.90585070010275e-05,0.05,0.4675,0.0275
7.33540364308283e-05,0.05,0.4625,0.0225
5.74302503082436e-05,0.05,0.4575,0.0175
4.12914014304988e-05,0.05,0.4525,0.0125
2.49417444138089e-05,0.05,0.4475,0.00749999999999997
8.38555024529342e-06,0.05,0.4425,0.00249999999999998
0.00019249583419878,0.05,0.4975,0.0625
0.000178420159500092,0.05,0.4925,0.0575
0.000164100041729398,0.05,0.4875,0.0524999999999999
0.000149539613630623,0.05,0.4825,0.0475
0.000134743037051521,0.05,0.4775,0.0425
0.000119714437460061,0.05,0.4725,0.0375
0.000104458027635701,0.05,0.4675,0.0325
8.8978027633857e-05,0.05,0.4625,0.0275
7.32786793378182e-05,0.05,0.4575,0.0225
5.7364217354916e-05,0.05,0.4525,0.0175
4.12389199482277e-05,0.05,0.4475,0.0125
2.49070581048727e-05,0.05,0.4425,0.00749999999999997
8.37291827338049e-06,0.05,0.4375,0.00249999999999998
0.000206322962185368,0.05,0.4975,0.0675
0.000192469931789674,0.05,0.4925,0.0625
0.000178372458321974,0.05,0.4875,0.0575
0.000164034645422362,0.05,0.4825,0.0525
0.000149460596730933,0.05,0.4775,0.0475
0.000134654532303102,0.05,0.4725,0.0424999999999999
0.000119620584882796,0.05,0.4675,0.0375
0.000104362981801387,0.05,0.4625,0.0325
8.88859794940799e-05,0.05,0.4575,0.0275
7.3193819844164e-05,0.05,0.4525,0.0225
5.72907665628009e-05,0.05,0.4475,0.0175
4.11811197409406e-05,0.05,0.4425,0.0125
2.48691685555968e-05,0.05,0.4375,0.00749999999999997
8.35921491670888e-06,0.05,0.4325,0.0025
0.000219927460420877,0.05,0.4975,0.0725
0.00020629505161196,0.05,0.4925,0.0675
0.000192418170627207,0.05,0.4875,0.0625
0.000178300921106711,0.05,0.4825,0.0575
0.000163947406690568,0.05,0.4775,0.0525
0.000149361789226532,0.05,0.4725,0.0474999999999999
0.00013454825966619,0.05,0.4675,0.0424999999999999
0.000119511008961126,0.05,0.4625,0.0375
0.000104254271718673,0.05,0.4575,0.0325
